,Name,Club,Wage,Attack,Handling_Passing,Physical,Defense,Mental,Goal Keeping
7458,F. Ronstadt,SV Darmstadt 98,5.0,464.0,284.0,495.0,252.0,167.0,54.0
7459,21 D. Gravenberch,Sparta Rotterdam,3.0,500.0,277.0,465.0,255.0,175.0,49.0
7460,P. Cutrone,Empoli,51.0,575.0,307.0,497.0,114.0,222.0,39.0
7461,D. Whitehead,Port Vale,2.0,494.0,302.0,498.0,205.0,176.0,49.0
7462,E. Vera,Gallos Blancos de Querétaro,3.0,454.0,308.0,494.0,240.0,158.0,54.0
7463,Jorge Félix,Demir Grup Sivasspor,10.0,549.0,346.0,517.0,94.0,213.0,38.0
7464,V. Sourlis,Olympiacos CFP,500.0,478.0,325.0,452.0,233.0,200.0,46.0
7465,K. Karaman,Beşiktaş JK,27.0,538.0,345.0,495.0,123.0,196.0,54.0
7466,21 J. Schryvers,Waasland-Beveren,3.0,427.0,310.0,483.0,263.0,176.0,55.0
7467,Vallejo,Real Madrid CF,82.0,380.0,318.0,467.0,307.0,186.0,57.0
7468,Alberto Moreno,Atlético de Madrid,6.0,492.0,334.0,460.0,219.0,179.0,49.0
7469,21 A. Nkaka,SC Paderborn 07,5.0,401.0,309.0,500.0,267.0,167.0,57.0
7470,S. Arab,Paris FC,1.0,492.0,315.0,490.0,191.0,184.0,60.0
7471,M. Đuričin,FK Austria Wien,8.0,558.0,307.0,536.0,115.0,198.0,47.0
7472,21 J. Omolo,BB Erzurumspor,4.0,451.0,311.0,452.0,259.0,190.0,64.0
7473,E. Embleton,Sunderland,3.0,494.0,316.0,478.0,201.0,170.0,53.0
7474,21 E. Mangala,Valencia CF,27.0,458.0,259.0,465.0,312.0,162.0,53.0
7475,S. Cáceres,Club América,25.0,393.0,278.0,516.0,299.0,158.0,61.0
7476,Martín,Deportivo Alavés,20.0,403.0,316.0,458.0,290.0,193.0,47.0
7477,M. Leitsch,VfL Bochum 1848,14.0,395.0,291.0,499.0,286.0,180.0,59.0
7478,J. Dörfler,SC Paderborn 07,4.0,433.0,306.0,496.0,250.0,176.0,47.0
7479,K. Leshabela,Shrewsbury Town,13.0,495.0,318.0,509.0,180.0,184.0,47.0
7480,Aylton Boa Morte,Portimonense SC,6.0,535.0,319.0,497.0,152.0,209.0,54.0
7481,J. Delem,Seattle Sounders FC,2.0,429.0,302.0,508.0,250.0,169.0,56.0
7482,M. Costly,SV Waldhof Mannheim 07,1.0,428.0,295.0,557.0,225.0,167.0,50.0
7483,N. Hämäläinen,LA Galaxy,5.0,447.0,304.0,497.0,243.0,175.0,49.0
7484,A. Walkes,Atlanta United,2.0,450.0,290.0,472.0,270.0,173.0,52.0
7485,M. te Wierik,FC Groningen,5.0,439.0,309.0,444.0,274.0,189.0,64.0
7486,D. Moreno,Junior FC,2.0,408.0,306.0,489.0,268.0,186.0,54.0
7487,J. Bajandouh,Al Shabab,8.0,513.0,315.0,405.0,249.0,163.0,65.0
7488,R. Corlu,Brøndby IF,4.0,492.0,316.0,550.0,139.0,191.0,68.0
7489,21 D. Templeton,Hamilton Academical FC,2.0,531.0,307.0,476.0,190.0,187.0,46.0
7490,J. Torunarigha,Hertha BSC,25.0,361.0,340.0,497.0,294.0,181.0,41.0
7491,K. Gorré,Boavista FC,8.0,547.0,322.0,487.0,148.0,186.0,54.0
7492,A. Rufer,Wellington Phoenix,900.0,477.0,310.0,471.0,238.0,169.0,59.0
7493,J. Þorsteinsson,Aarhus GF,9.0,499.0,323.0,478.0,192.0,203.0,43.0
7494,Y. Sarı,Trabzonspor,16.0,566.0,334.0,478.0,123.0,202.0,47.0
7495,T. Nishimura,Vegalta Sendai,2.0,528.0,307.0,521.0,162.0,193.0,50.0
7496,I. Reyes,Puebla FC,2.0,487.0,308.0,431.0,257.0,178.0,45.0
7497,21 A. Figuera,0,0.0,414.0,322.0,481.0,275.0,179.0,45.0
7498,21 M. Gardyne,Ross County FC,2.0,520.0,302.0,523.0,183.0,169.0,40.0
7499,Genaro,Málaga CF,2.0,452.0,334.0,432.0,261.0,165.0,57.0
7500,T. Blackmon,Los Angeles FC,3.0,393.0,310.0,522.0,256.0,182.0,54.0
7501,C. González,Tigres U.A.N.L.,42.0,543.0,306.0,489.0,147.0,216.0,53.0
7502,20 Dani Molina,RC Celta de Vigo,4.0,514.0,347.0,358.0,263.0,176.0,65.0
7503,M. Bloomfield,Wycombe Wanderers,1.0,489.0,316.0,421.0,253.0,191.0,52.0
7504,M. Djitté,Austin FC,4.0,523.0,306.0,560.0,107.0,199.0,50.0
7505,21 H. Demir,Kasimpaşa SK,3.0,463.0,319.0,465.0,235.0,168.0,63.0
7506,M. Frydrych,Wisła Kraków,3.0,492.0,274.0,455.0,261.0,175.0,54.0
7507,Rafael Cachoira,RB Bragantino,11.0,463.0,298.0,398.0,309.0,177.0,60.0
7508,C. Bayala,AC Ajaccio,3.0,529.0,320.0,518.0,141.0,189.0,44.0
7509,F. Miya,İttifak Holding Konyaspor,6.0,551.0,336.0,503.0,128.0,191.0,46.0
7510,Li Shenglong,Shanghai Port FC,6.0,525.0,276.0,484.0,199.0,189.0,58.0
7511,21 S. Bocchetti,Hellas Verona,17.0,437.0,295.0,457.0,295.0,167.0,64.0
7512,G. Korte,SV Wehen Wiesbaden,3.0,553.0,317.0,511.0,126.0,181.0,58.0
7513,21 M. Olsson,Helsingborgs IF,1.0,460.0,301.0,474.0,238.0,181.0,62.0
7514,20 R. Rodriguez,KFC Uerdingen 05,3.0,513.0,322.0,492.0,180.0,186.0,50.0
7515,Z. Al Sahafi,Al Ittihad,11.0,502.0,277.0,441.0,267.0,160.0,49.0
7516,M. Virtue,Blackpool,2.0,440.0,314.0,492.0,249.0,167.0,53.0
7517,S. Stangl,SV Wehen Wiesbaden,2.0,474.0,293.0,467.0,250.0,168.0,55.0
7518,T. Coulibaly,VfB Stuttgart,11.0,492.0,331.0,502.0,180.0,174.0,45.0
7519,J. Fujita,Tokushima Vortis,600.0,463.0,307.0,459.0,261.0,163.0,56.0
7520,O. Macías,Fútbol Club Juárez,7.0,483.0,325.0,480.0,206.0,181.0,48.0
7521,D. Buballa,Viktoria Köln,2.0,428.0,304.0,478.0,267.0,190.0,53.0
7522,14 D. Trezeguet,Newell's Old Boys,45.0,623.0,323.0,376.0,153.0,0.0,56.0
7523,E. Jirka,Real Oviedo,5.0,514.0,319.0,524.0,157.0,180.0,47.0
7524,C. Mavinga,Toronto FC,5.0,382.0,322.0,500.0,281.0,171.0,57.0
7525,G. Merloi,FC Voluntari,1.0,518.0,307.0,507.0,181.0,183.0,50.0
7526,L. Sigali,Racing Club,17.0,407.0,271.0,476.0,307.0,187.0,57.0
7527,J. Sekidika,Oud-Heverlee Leuven,17.0,503.0,308.0,532.0,159.0,181.0,39.0
7528,J. Pohjanpalo,Çaykur Rizespor,39.0,597.0,306.0,470.0,119.0,217.0,51.0
7529,Cristo Romero,Real Sociedad B,3.0,434.0,327.0,470.0,242.0,181.0,49.0
7530,C. Fierro,San Jose Earthquakes,3.0,526.0,314.0,501.0,148.0,194.0,48.0
7531,M. Chahiri,Stade Malherbe Caen,10.0,522.0,345.0,457.0,174.0,186.0,41.0
7532,Barrenetxea,Real Sociedad,17.0,550.0,340.0,525.0,78.0,212.0,53.0
7533,21 M. Sax,FC Flyeralarm Admira,6.0,518.0,322.0,528.0,133.0,183.0,70.0
7534,20 G. De Luca,Virtus Entella Chiavari,1.0,551.0,310.0,564.0,104.0,200.0,42.0
7535,C. Colmán,Godoy Cruz,5.0,544.0,281.0,540.0,147.0,195.0,36.0
7536,20 W. Atkinson,Port Vale,2.0,462.0,293.0,504.0,234.0,176.0,48.0
7537,S. van Wermeskerken,PEC Zwolle,4.0,390.0,328.0,506.0,250.0,185.0,52.0
7538,M. Villanueva,Santa Clara,5.0,437.0,294.0,471.0,283.0,176.0,49.0
7539,17 G. Samaras,Real Zaragoza,8.0,574.0,343.0,471.0,131.0,194.0,55.0
7540,A. Munksgaard,Aarhus GF,4.0,432.0,303.0,524.0,241.0,157.0,51.0
7541,K. Lafferty,0,0.0,595.0,297.0,435.0,176.0,206.0,51.0
7542,N. Orellana,Unión La Calera,2.0,537.0,324.0,516.0,113.0,191.0,64.0
7543,Léo Sena,Spezia,5.0,451.0,346.0,470.0,232.0,186.0,44.0
7544,R. Pröpper,FC Twente,5.0,495.0,303.0,414.0,268.0,173.0,53.0
7545,21 E. Berg,Djurgårdens IF,6.0,460.0,301.0,422.0,282.0,185.0,63.0
7546,F. Brown Forbes,Wisła Kraków,3.0,505.0,285.0,508.0,192.0,186.0,58.0
7547,E. Castillo,Club Tijuana,9.0,530.0,308.0,529.0,141.0,188.0,61.0
7548,Bryan Gil,Tottenham Hotspur,52.0,557.0,372.0,453.0,104.0,237.0,49.0
7549,W. Zimmerman,Nashville SC,8.0,442.0,291.0,442.0,295.0,189.0,54.0
7550,Y. Keitel,Sport-Club Freiburg,6.0,438.0,331.0,464.0,263.0,171.0,49.0
7551,Asumah Abubakar,FC Lugano,4.0,516.0,315.0,522.0,154.0,190.0,40.0
7552,S. Christiansen,Borussia Mönchengladbach,4.0,515.0,328.0,419.0,225.0,184.0,57.0
7553,F. Rieder,BSC Young Boys,2.0,479.0,341.0,479.0,205.0,167.0,58.0
7554,I. Hutchinson,Derby County,2.0,495.0,316.0,486.0,207.0,178.0,45.0
7555,T. Bradshaw,Millwall,9.0,518.0,286.0,557.0,117.0,208.0,65.0
7556,F. Okenabirhie,Doncaster Rovers,4.0,525.0,297.0,543.0,148.0,186.0,48.0
7557,21 G. Kostadinov,0,0.0,433.0,303.0,449.0,270.0,192.0,60.0
7558,J. Bauza,FC U Craiova 1948,2.0,508.0,316.0,505.0,198.0,169.0,44.0
7559,M. Stamenic,0,0.0,478.0,336.0,450.0,237.0,178.0,51.0
7560,M. Bayo,Clermont Foot 63,15.0,606.0,325.0,457.0,96.0,221.0,58.0
7561,Álex López,CD Mirandés,3.0,465.0,350.0,432.0,216.0,206.0,50.0
7562,R. Hack,DSC Arminia Bielefeld,14.0,534.0,339.0,500.0,127.0,201.0,45.0
7563,V. Sulejmani,Hannover 96,10.0,538.0,310.0,490.0,152.0,194.0,54.0
7564,K. Itakura,FC Schalke 04,64.0,342.0,309.0,537.0,297.0,169.0,50.0
7565,M. Cassierra,Belenenses SAD,6.0,525.0,327.0,518.0,120.0,213.0,49.0
7566,C. Norman,Newport County,3.0,480.0,287.0,478.0,243.0,167.0,58.0
7567,21 M. Barragán,Club Necaxa,5.0,575.0,304.0,496.0,157.0,176.0,41.0
7568,C. Akpom,PAOK,950.0,534.0,299.0,542.0,129.0,211.0,52.0
7569,B. Chardonnet,Stade Brestois 29,16.0,421.0,280.0,469.0,292.0,182.0,58.0
7570,R. Redes,Austin FC,2.0,522.0,323.0,492.0,150.0,188.0,49.0
7571,20 D. Lovren,Liverpool,90.0,407.0,320.0,424.0,333.0,165.0,58.0
7572,S. Walsh,KV Mechelen,7.0,407.0,311.0,484.0,273.0,185.0,53.0
7573,T. Archibald,Leyton Orient,2.0,502.0,288.0,498.0,221.0,156.0,50.0
7574,S. Burgess,Port Vale,2.0,493.0,309.0,472.0,220.0,178.0,46.0
7575,Marrony,FC Midtjylland,9.0,557.0,301.0,480.0,164.0,183.0,44.0
7576,A. Beka Beka,FC Lokomotiv Moscow,7.0,424.0,313.0,476.0,259.0,184.0,54.0
7577,U. Bozok,Kasimpaşa SK,9.0,563.0,316.0,524.0,92.0,204.0,48.0
7578,19 T. Mykhalyk,FC Lokomotiv Moscow,1.0,442.0,288.0,445.0,297.0,170.0,67.0
7579,E. Torregrossa,U.C. Sampdoria,14.0,563.0,302.0,527.0,109.0,213.0,45.0
7580,Osvaldão Murilo,RB Bragantino,9.0,480.0,278.0,430.0,290.0,180.0,48.0
7581,T. De Smet,K Beerschot VA,9.0,443.0,297.0,480.0,270.0,172.0,45.0
7582,D. Andrade,Santos Laguna,6.0,455.0,316.0,464.0,234.0,172.0,59.0
7583,T. Ebuehi,Venezia FC,6.0,381.0,284.0,537.0,268.0,178.0,65.0
7584,B. Finne,SK Brann,2.0,556.0,301.0,542.0,97.0,187.0,59.0
7585,21 Y. Vorogovskiy,K Beerschot VA,4.0,452.0,288.0,466.0,278.0,170.0,46.0
7586,A. Çankaya,Göztepe SK,4.0,445.0,309.0,460.0,278.0,152.0,58.0
7587,21 A. Baumjohann,Sydney FC,5.0,575.0,352.0,444.0,118.0,193.0,45.0
7588,Aitor Buñuel,Unión Deportiva Almería,5.0,386.0,306.0,531.0,265.0,178.0,46.0
7589,G. Carrillo,Elche CF,14.0,568.0,323.0,422.0,161.0,219.0,48.0
7590,F. Lustenberger,BSC Young Boys,15.0,388.0,329.0,449.0,306.0,181.0,54.0
7591,T. Doyle,Hamburger SV,2.0,491.0,325.0,459.0,221.0,176.0,54.0
7592,21 T. Lapslie,Colchester United,3.0,414.0,287.0,524.0,266.0,160.0,53.0
7593,E. Nketiah,Arsenal,56.0,550.0,316.0,519.0,105.0,223.0,47.0
7594,21 R. Shotton,Melbourne Victory,5.0,453.0,297.0,444.0,277.0,183.0,51.0
7595,A. Thapa,Chennaiyin FC,500.0,469.0,313.0,482.0,230.0,177.0,53.0
7596,J. Knight,Peterborough United,5.0,430.0,312.0,455.0,270.0,180.0,52.0
7597,M. Hjulmand,Lecce,2.0,435.0,345.0,457.0,253.0,173.0,44.0
7598,21 L. Viatri,Club Atlético Colón,11.0,594.0,325.0,416.0,144.0,207.0,56.0
7599,J. Yates,Blackpool,6.0,544.0,294.0,541.0,127.0,201.0,45.0
7600,C. Holse,Rosenborg BK,3.0,526.0,321.0,538.0,121.0,183.0,42.0
7601,S. Molina,Crotone,5.0,491.0,335.0,498.0,146.0,183.0,52.0
7602,E. Kara,SK Rapid Wien,25.0,599.0,279.0,484.0,137.0,210.0,52.0
7603,R. Gall,Malmö FF,2.0,543.0,298.0,511.0,141.0,178.0,54.0
7604,C. Abastoflor,Club The Strongest,500.0,529.0,305.0,447.0,205.0,171.0,56.0
7605,M. Polster,New England Revolution,4.0,440.0,332.0,436.0,267.0,178.0,60.0
7606,Pedro Augusto,CD Tondela,3.0,410.0,325.0,473.0,275.0,177.0,52.0
7607,A. Gutiérrez,Cruz Azul,9.0,477.0,344.0,462.0,239.0,133.0,56.0
7608,M. Friedrich,1. FC Union Berlin,29.0,392.0,298.0,455.0,316.0,176.0,65.0
7609,S. Karamoko,AS Nancy Lorraine,2.0,393.0,282.0,571.0,244.0,177.0,47.0
7610,21 M. Heller,SC Paderborn 07,7.0,528.0,299.0,520.0,139.0,193.0,63.0
7611,F. Pogba,FC Sochaux-Montbéliard,3.0,482.0,276.0,470.0,276.0,162.0,48.0
7612,C. Akolo,Amiens SC,4.0,531.0,333.0,501.0,136.0,199.0,49.0
7613,M. Yatabaré,Demir Grup Sivasspor,10.0,581.0,318.0,463.0,116.0,196.0,55.0
7614,Gabriel,Arsenal,65.0,374.0,323.0,445.0,319.0,196.0,50.0
7615,20 T. Gebhart,TSV 1860 München,650.0,568.0,324.0,419.0,183.0,195.0,54.0
7616,J. Brenet,TSG Hoffenheim,16.0,381.0,323.0,486.0,276.0,185.0,59.0
7617,18 Kike Sola,Athletic Club de Bilbao,15.0,580.0,321.0,406.0,206.0,192.0,31.0
7618,21 E. Segberg,IK Start,750.0,474.0,313.0,470.0,231.0,174.0,55.0
7619,S. High,Huddersfield Town,2.0,476.0,324.0,464.0,217.0,178.0,66.0
7620,Álvaro García,RCD Espanyol de Barcelona,4.0,455.0,313.0,447.0,268.0,187.0,41.0
7621,Aridane,CA Osasuna,26.0,412.0,275.0,482.0,307.0,173.0,55.0
7622,T. Hemed,Western Sydney Wanderers,6.0,604.0,301.0,425.0,160.0,206.0,55.0
7623,R. Decostere,KSV Cercle Brugge,4.0,436.0,311.0,482.0,261.0,170.0,47.0
7624,J. Lahne,Amiens SC,800.0,471.0,294.0,571.0,175.0,168.0,64.0
7625,P. Szysz,Zagłębie Lubin,3.0,506.0,297.0,549.0,154.0,183.0,49.0
7626,Glauder,SD Eibar,5.0,382.0,291.0,499.0,280.0,185.0,66.0
7627,C. Kane,St. Johnstone FC,2.0,500.0,267.0,535.0,191.0,173.0,61.0
7628,Samuel Lino,Gil Vicente FC,4.0,548.0,319.0,492.0,140.0,205.0,50.0
7629,S. Ferreira,Club Libertad,900.0,580.0,324.0,479.0,124.0,209.0,42.0
7630,21 M. Badu,Spartak Moskva,11.0,476.0,314.0,473.0,222.0,168.0,63.0
7631,J. Dacres-Cogley,Tranmere Rovers,3.0,434.0,307.0,492.0,243.0,178.0,52.0
7632,H. Dotson,Minnesota United FC,2.0,444.0,313.0,468.0,255.0,184.0,43.0
7633,C. Whelan,Oldham Athletic,2.0,471.0,312.0,452.0,250.0,173.0,52.0
7634,K. Mac Allister,Argentinos Juniors,7.0,405.0,294.0,494.0,283.0,191.0,41.0
7635,21 A. Cistana,Brescia,2.0,424.0,278.0,479.0,287.0,171.0,63.0
7636,Suk Hyun Jun,ESTAC Troyes,9.0,603.0,295.0,429.0,166.0,197.0,44.0
7637,J. Tolkin,New York Red Bulls,500.0,457.0,299.0,504.0,230.0,166.0,50.0
7638,Robert Navarro,Real Sociedad,6.0,501.0,324.0,499.0,164.0,207.0,61.0
7639,B. Afobe,Millwall,13.0,573.0,313.0,498.0,124.0,200.0,39.0
7640,L. Caldirola,AC Monza,3.0,469.0,317.0,410.0,281.0,190.0,47.0
7641,B. Purrington,Charlton Athletic,3.0,432.0,299.0,512.0,242.0,164.0,55.0
7642,J. Nikolaou,Eintracht Braunschweig,3.0,427.0,312.0,487.0,278.0,149.0,46.0
7643,G. Mackay-Steven,Heart of Midlothian,3.0,518.0,317.0,529.0,137.0,188.0,48.0
7644,R. Cherki,Olympique Lyonnais,9.0,571.0,359.0,467.0,117.0,211.0,43.0
7645,J. Carls,SC Paderborn 07,4.0,461.0,297.0,501.0,238.0,179.0,41.0
7646,J. Morrell,Portsmouth,4.0,467.0,334.0,490.0,200.0,202.0,47.0
7647,20 B. Alıcı,Çaykur Rizespor,27.0,541.0,334.0,478.0,148.0,188.0,46.0
7648,E. Giménez,Club Cerro Porteño,500.0,564.0,298.0,480.0,158.0,176.0,51.0
7649,J. Świerczok,Nagoya Grampus,6.0,558.0,289.0,514.0,136.0,227.0,50.0
7650,Felipe Vizeu,Yokohama FC,11.0,572.0,309.0,481.0,142.0,211.0,48.0
7651,T. Jacobsen,SV Werder Bremen,3.0,450.0,310.0,475.0,252.0,176.0,44.0
7652,R. Rios,Mazatlán Futbol Club,3.0,440.0,344.0,428.0,271.0,188.0,49.0
7653,Aimar Oroz,CA Osasuna,3.0,510.0,328.0,461.0,202.0,177.0,44.0
7654,21 A. Björnström,IK Sirius,1.0,427.0,300.0,507.0,238.0,184.0,55.0
7655,R. Holding,Arsenal,62.0,357.0,325.0,455.0,316.0,190.0,62.0
7656,N. Mazzola,Arsenal de Sarandí,6.0,540.0,327.0,445.0,162.0,217.0,54.0
7657,O. Kiomourtzoglou,Heracles Almelo,3.0,411.0,300.0,487.0,280.0,181.0,54.0
7658,C. Souaré,Olympique de Marseille,2.0,492.0,305.0,481.0,226.0,161.0,44.0
7659,M. Novak,RZ Pellets Wolfsberger AC,6.0,429.0,306.0,469.0,260.0,185.0,62.0
7660,J. Clisby,Perth Glory,1.0,457.0,267.0,489.0,265.0,174.0,53.0
7661,21 Marcelinho,0,0.0,541.0,345.0,454.0,158.0,205.0,51.0
7662,J. Emmanuel,Hull City,4.0,387.0,312.0,518.0,260.0,176.0,58.0
7663,Nathan,San Jose Earthquakes,3.0,420.0,267.0,515.0,281.0,163.0,49.0
7664,G. Thomas,Queens Park Rangers,4.0,526.0,313.0,501.0,164.0,183.0,52.0
7665,D. Zima,Torino F.C.,23.0,389.0,303.0,491.0,298.0,173.0,50.0
7666,C. Lavery,Bradford City,4.0,529.0,289.0,502.0,166.0,179.0,60.0
7667,H. Alpsoy,Antalyaspor,4.0,457.0,329.0,450.0,255.0,166.0,47.0
7668,Naranjo,SD Ponferradina,4.0,606.0,331.0,482.0,93.0,183.0,58.0
7669,B. Halloran,Adelaide United,2.0,498.0,308.0,528.0,150.0,181.0,62.0
7670,Leândro,Górnik Łęczna,900.0,431.0,297.0,518.0,236.0,178.0,52.0
7671,21 A. Morenzo,0,0.0,503.0,344.0,487.0,120.0,183.0,57.0
7672,J. Björkengren,Lecce,1.0,452.0,316.0,464.0,248.0,188.0,54.0
7673,C. Borthwick-Jackson,Burton Albion,2.0,461.0,306.0,472.0,249.0,176.0,45.0
7674,O. Estupiñán,Vitória de Guimarães,6.0,575.0,283.0,504.0,139.0,201.0,51.0
7675,J. Jones,Wigan Athletic,3.0,514.0,317.0,498.0,173.0,184.0,51.0
7676,Fran García,Burgos CF,3.0,407.0,282.0,536.0,246.0,170.0,61.0
7677,S. Iljutcenko,Jeonbuk Hyundai Motors,10.0,522.0,286.0,520.0,166.0,206.0,60.0
7678,J. Valencia,Brentford,11.0,485.0,305.0,510.0,183.0,182.0,64.0
7679,M. Krmenčík,SK Slavia Praha,850.0,590.0,315.0,450.0,146.0,207.0,51.0
7680,J. Kamiński,Lech Poznań,3.0,503.0,311.0,500.0,181.0,180.0,50.0
7681,A. Seck,Royal Antwerp FC,15.0,429.0,295.0,468.0,296.0,155.0,68.0
7682,J. Vestergaard,Leicester City,83.0,475.0,310.0,346.0,318.0,193.0,63.0
7683,L. O'Neil,Cambridge United,2.0,434.0,302.0,496.0,245.0,192.0,46.0
7684,20 M. Gómez,VfB Stuttgart,26.0,598.0,311.0,416.0,145.0,230.0,46.0
7685,A. Mosquera,Club León,18.0,423.0,280.0,490.0,295.0,164.0,39.0
7686,19 A. Cinelli,Chievo Verona,7.0,409.0,332.0,481.0,260.0,187.0,51.0
7687,A. Ujah,1. FC Union Berlin,18.0,564.0,299.0,482.0,148.0,210.0,58.0
7688,N. Reniero,Argentinos Juniors,8.0,552.0,315.0,509.0,100.0,190.0,58.0
7689,E. Doyle,Bolton Wanderers,4.0,573.0,295.0,494.0,103.0,198.0,71.0
7690,Y. Nader,Al Ain FC,500.0,452.0,302.0,476.0,276.0,158.0,37.0
7691,L. Da Cunha,OGC Nice,8.0,539.0,324.0,488.0,152.0,187.0,60.0
7692,M. Terrazzino,Lechia Gdańsk,3.0,548.0,335.0,449.0,163.0,196.0,58.0
7693,19 P. Lasogga,Hamburger SV,15.0,638.0,261.0,397.0,183.0,228.0,46.0
7694,S. Lex,TSV 1860 München,1.0,514.0,317.0,538.0,127.0,197.0,57.0
7695,I. Ssewankambo,Östersunds FK,1.0,394.0,295.0,543.0,262.0,167.0,50.0
7696,Dani Morer,Futebol Clube de Famalicão,2.0,442.0,305.0,494.0,243.0,178.0,51.0
7697,Arturo Molina,CF Fuenlabrada,2.0,523.0,331.0,415.0,215.0,194.0,60.0
7698,21 T. Nydam,Ipswich Town,2.0,438.0,322.0,473.0,263.0,171.0,44.0
7699,J. Sterry,Hartlepool United,3.0,449.0,284.0,510.0,245.0,167.0,53.0
7700,21 A. Mățel,AFC Hermannstadt,2.0,483.0,294.0,451.0,245.0,183.0,48.0
7701,N. Kijewski,Eintracht Braunschweig,2.0,420.0,310.0,524.0,258.0,163.0,37.0
7702,B. Ndoye,FC Sion,6.0,475.0,297.0,463.0,255.0,189.0,44.0
7703,A. Boljević,Standard de Liège,8.0,536.0,331.0,497.0,129.0,197.0,51.0
7704,R. Hedges,Aberdeen,5.0,516.0,331.0,504.0,148.0,192.0,49.0
7705,B. Garré,Racing Club,6.0,525.0,327.0,510.0,146.0,188.0,46.0
7706,Hugo Vieira,FC U Craiova 1948,3.0,551.0,312.0,508.0,126.0,198.0,57.0
7707,J. O'Sullivan,Accrington Stanley,2.0,463.0,311.0,481.0,233.0,187.0,53.0
7708,G. Crociata,Empoli,15.0,543.0,342.0,475.0,136.0,194.0,47.0
7709,O. Hoban,CFR Cluj,3.0,532.0,304.0,379.0,261.0,190.0,52.0
7710,19 B. Kukeli,FC Sion,6.0,472.0,295.0,440.0,253.0,185.0,69.0
7711,N. Landgraf,Hallescher FC,1.0,429.0,276.0,529.0,248.0,172.0,52.0
7712,I. Ugbo,KRC Genk,10.0,548.0,303.0,501.0,136.0,215.0,53.0
7713,20 T. Amang,Kristiansund BK,1.0,494.0,265.0,588.0,174.0,159.0,52.0
7714,C. Evans,Sunderland,4.0,485.0,301.0,423.0,259.0,170.0,61.0
7715,N. Laursen,Heracles Almelo,3.0,590.0,326.0,465.0,134.0,180.0,38.0
7716,J. Altamirano,CD Huachipato,1.0,491.0,316.0,479.0,196.0,167.0,60.0
7717,K. Ludewig,FC Red Bull Salzburg,5.0,445.0,300.0,484.0,251.0,167.0,50.0
7718,F. Holender,0,0.0,571.0,329.0,480.0,127.0,188.0,47.0
7719,Mini,Atlético de Madrid,8.0,449.0,326.0,436.0,263.0,172.0,57.0
7720,21 Óscar Rubio,CE Sabadell FC,2.0,452.0,287.0,511.0,247.0,172.0,45.0
7721,K. Ofori,SC Paderborn 07,2.0,509.0,315.0,503.0,165.0,173.0,58.0
7722,C. Johnson,Fleetwood Town,3.0,419.0,301.0,518.0,248.0,180.0,46.0
7723,L. Balerdi,Olympique de Marseille,24.0,379.0,317.0,485.0,295.0,165.0,58.0
7724,R. Schwartz,Charlton Athletic,3.0,553.0,299.0,481.0,157.0,200.0,53.0
7725,D. Granli,Aalborg BK,4.0,459.0,290.0,456.0,262.0,181.0,56.0
7726,H. Mendes,FC Lorient,6.0,437.0,306.0,493.0,261.0,155.0,45.0
7727,M. Wdowiak,Raków Częstochowa,2.0,477.0,310.0,536.0,168.0,179.0,56.0
7728,21 A. Dursun,Trabzonspor,5.0,475.0,265.0,466.0,251.0,189.0,67.0
7729,P. Hoban,Dundalk FC,1.0,555.0,285.0,480.0,160.0,196.0,60.0
7730,J. Williams,Columbus Crew,3.0,448.0,297.0,457.0,264.0,176.0,62.0
7731,Y. Kakita,Tokushima Vortis,3.0,529.0,301.0,487.0,181.0,193.0,47.0
7732,19 A. Kellett,Notts County,4.0,459.0,309.0,522.0,207.0,177.0,44.0
7733,19 C. M'Bengue,AS Saint-Étienne,15.0,403.0,307.0,481.0,276.0,180.0,59.0
7734,Y. Fukuda,Gamba Osaka,3.0,461.0,313.0,459.0,255.0,182.0,43.0
7735,J. Arce,Club Always Ready,500.0,551.0,343.0,419.0,187.0,193.0,68.0
7736,P. Ofosu-Ayeh,Halmstads BK,1.0,433.0,293.0,505.0,243.0,177.0,56.0
7737,G. Charbonnier,AJ Auxerre,7.0,619.0,364.0,350.0,134.0,233.0,59.0
7738,S. Kowalczyk,Pogoń Szczecin,3.0,502.0,312.0,498.0,176.0,186.0,51.0
7739,Pol Valentín,CF Fuenlabrada,2.0,378.0,299.0,538.0,242.0,187.0,62.0
7740,K. Varga,Kasimpaşa SK,7.0,536.0,333.0,471.0,150.0,205.0,54.0
7741,Y. Meriah,Al Ain FC,550.0,432.0,292.0,491.0,283.0,152.0,43.0
7742,R. Gabrielsen,F.C. København,4.0,457.0,229.0,523.0,282.0,156.0,52.0
7743,T. Röcher,RZ Pellets Wolfsberger AC,9.0,550.0,326.0,520.0,94.0,195.0,55.0
7744,P. Huspek,SK Sturm Graz,6.0,517.0,305.0,558.0,122.0,167.0,61.0
7745,T. Ambrose,KV Oostende,5.0,534.0,315.0,546.0,104.0,183.0,54.0
7746,T. Heintz,BK Häcken,2.0,508.0,319.0,519.0,143.0,187.0,56.0
7747,D. Schmidt,SC Cambuur,3.0,443.0,287.0,458.0,277.0,170.0,64.0
7748,D. Kyereh,FC St. Pauli,12.0,520.0,340.0,558.0,95.0,192.0,39.0
7749,M. Cancellieri,Hellas Verona,5.0,549.0,324.0,488.0,149.0,182.0,52.0
